268;0000000100001100;0000000100001100100101010101110
269;0000000100001101;0000000100001101100010100000001
270;0000000100001110;0000000100001110101010111110000
271;0000000100001111;0000000100001111101101001011111
272;0000000100010000;0000000100010000111110000110101
273;0000000100010001;0000000100010001111001110011010
274;0000000100010010;0000000100010010110001101101011
275;0000000100010011;0000000100010011110110011000100
276;0000000100010100;0000000100010100100001010001001
277;0000000100010101;0000000100010101100110100100110
278;0000000100010110;0000000100010110101110111010111
279;0000000100010111;0000000100010111101001001111000
280;0000000100011000;0000000100011000000000101001101
281;0000000100011001;0000000100011001000111011100010
282;0000000100011010;0000000100011010001111000010011
283;0000000100011011;0000000100011011001000110111100
284;0000000100011100;0000000100011100011111111110001
285;0000000100011101;0000000100011101011000001011110
286;0000000100011110;0000000100011110010000010101111
287;0000000100011111;0000000100011111010111100000000
288;0000000100100000;0000000100100000110110001111011
289;0000000100100001;0000000100100001110001111010100
290;0000000100100010;0000000100100010111001100100101
291;0000000100100011;0000000100100011111110010001010
292;0000000100100100;0000000100100100101001011000111
293;0000000100100101;0000000100100101101110101101000
294;0000000100100110;0000000100100110100110110011001
295;0000000100100111;0000000100100111100001000110110
296;0000000100101000;0000000100101000001000100000011
297;0000000100101001;0000000100101001001111010101100
298;0000000100101010;0000000100101010000111001011101
299;0000000100101011;0000000100101011000000111110010
300;0000000100101100;0000000100101100010111110111111
301;0000000100101101;0000000100101101010000000010000
302;0000000100101110;0000000100101110011000011100001
303;0000000100101111;0000000100101111011111101001110
304;0000000100110000;0000000100110000001100100100100
305;0000000100110001;0000000100110001001011010001011
306;0000000100110010;0000000100110010000011001111010
307;0000000100110011;0000000100110011000100111010101
308;0000000100110100;0000000100110100010011110011000
309;0000000100110101;0000000100110101010100000110111
310;0000000100110110;0000000100110110011100011000110
311;0000000100110111;0000000100110111011011101101001
312;0000000100111000;0000000100111000110010001011100
313;0000000100111001;0000000100111001110101111110011
314;0000000100111010;0000000100111010111101100000010
315;0000000100111011;0000000100111011111010010101101
316;0000000100111100;0000000100111100101101011100000
317;0000000100111101;0000000100111101101010101001111
318;0000000100111110;0000000100111110100010110111110
319;0000000100111111;0000000100111111100101000010001
320;0000000101000000;0000000101000000100110011100111
321;0000000101000001;0000000101000001100001101001000
322;0000000101000010;0000000101000010101001110111001
323;0000000101000011;0000000101000011101110000010110
324;0000000101000100;0000000101000100111001001011011
325;0000000101000101;0000000101000101111110111110100
326;0000000101000110;0000000101000110110110100000101
327;0000000101000111;0000000101000111110001010101010
328;0000000101001000;0000000101001000011000110011111
329;0000000101001001;0000000101001001011111000110000
330;0000000101001010;0000000101001010010111011000001
331;0000000101001011;0000000101001011010000101101110
332;0000000101001100;0000000101001100000111100100011
333;0000000101001101;0000000101001101000000010001100
334;0000000101001110;0000000101001110001000001111101
